Région,AE,CAP,Cercle,Commune,NOM_ETABLISSEMENT,Localites,X,Y,CODE_ETABLISSEMENT,Localisation,CYCLE,STATUT,PRESENCE_RESTAURANT,PRESENCE_LATRINES,LATRINES_FILLES_SEPAREES,NOMBRE_LATRINES,EAU_POTABLE,GARCONS,FILLES,TOTAL,NBRE ENSEIGNANTS
MOPTI,MOPTI,DJENNE,DJENNE,OURO ALI,KOTOLA,Kotola,-4.598,13.92,11059946,,1er cycle,Public,0,1,0,3,5) pas de point d'eau,27,35,62,1
MOPTI,MOPTI,DJENNE,DJENNE,KEWA,KOUAKOUROU 1°C,Kouakourou,-4.491,14.22,720012,,1er cycle,Public,1,1,1,6,5) pas de point d'eau,313,213,526,7
MOPTI,MOPTI,DJENNE,DJENNE,KEWA,KOUAKOUROU 2°C,Kouakourou,-4.491,14.22,720039,,2ème cycle,Public,0,1,0,2,1) robinet ,143,53,196,4
MOPTI,MOPTI,MOPTI,MOPTI,KOUBAYE,KOUBAYE,Koubaye,-4.43,14.41,749033,,1er cycle,Public,1,1,1,3,5) pas de point d'eau,70,58,128,2
MOPTI,DOUENTZA,DOUENTZA,DOUENTZA,KOUBEWEL KOUNDIA,KOUBEWEL KOUNDIA,Koubewel,-3.034,14.98,721022,,1er cycle,Communautaire,1,1,0,2,5) pas de point d'eau,46,94,140,6
MOPTI,DOUENTZA,DOUENTZA,DOUENTZA,KOUBEWEL KOUNDIA,KOUBEWEL KOUNDIA SC,Koubewel,-3.034,14.98,1057658,,2ème cycle,Public,1,1,0,6,5) pas de point d'eau,38,34,72,3
MOPTI,MOPTI,SEVARE,MOPTI,KONNA,KOUBI,Koubi,-3.956000000,14.920000000,759013,A localiser,1er cycle,Public,1,1,1,2,3) puits non tarrissable,38,34,72,3
MOPTI,MOPTI,TENENKOU,TENENKOU,OURO GUIRE,KOUBI,Koubi,-4.867671399,14.391320973,762019,,1er cycle,Public,1,1,0,4,3) puits non tarrissable,63,96,159,3
MOPTI,MOPTI,DJENNE,DJENNE,NEMA-BADENYA-KAFO,KOUÏMA,Kouima,-4.763,13.73,720018,,1er cycle,Public,1,1,0,2,3) puits non tarrissable,69,94,163,2
MOPTI,MOPTI,DJENNE,DJENNE,FAKALA,KOULEBALA,Koulebala-Dogon,-4.149,13.96,1054138,,1er cycle,Public,0,1,0,6,5) pas de point d'eau,45,59,104,1
MOPTI,MOPTI,TENENKOU,TENENKOU,DIAFARABE,KOULI,Kouli,-5.104,14.13,11061445,,1er cycle,Public,0,0,,,5) pas de point d'eau,38,44,82,1
MOPTI,MOPTI,DJENNE,DJENNE,KEWA,KOULINZE,Koulenze,-6.632,13.36,720015,,1er cycle,Public,1,1,0,2,5) pas de point d'eau,59,40,99,3
MOPTI,DOUENTZA,BANKASS,BANKASS,KOULOGON HABE,KOULOGON 1°C,Kologon-Habe,-3.442,13.81,709036,,1er cycle,Public,1,1,1,7,2) forage fonctionnel,178,132,310,5
MOPTI,DOUENTZA,BANKASS,BANKASS,KOULOGON HABE,KOULOGON 2è CYCLE,Kologon-Habe,-3.442,13.81,961926,,2ème cycle,Public,0,1,1,10,3) puits non tarrissable,145,81,226,4
MOPTI,DOUENTZA,BANKASS,BANKASS,SEGUE,KOULOU  1° CYCLE,Koulou,-3.804,13.69,709053,,1er cycle,Public,1,1,0,3,1) robinet ,42,52,94,3
MOPTI,DOUENTZA,BANKASS,BANKASS,SEGUE,KOULOU 2è CYCLE,Koulou,-3.804,13.69,961928,,2ème cycle,Public,0,0,,,1) robinet ,5,16,21,3
MOPTI,MOPTI,DJENNE,DJENNE,FEMAYE,KOUMAGA,Koumaga-Marka,-4.398,13.98,1054145,,1er cycle,Public,1,1,0,3,5) pas de point d'eau,56,66,122,1
MOPTI,DOUENTZA,KORO,KORO,KOPORO PEN,KOUMBAGOUROU,Kombogourou-Dogon,-3.25,14.24,961835,,1er cycle,Public,0,0,,,5) pas de point d'eau,134,141,275,4
MOPTI,MOPTI,TENENKOU,TENENKOU,DIAFARABE,KOUMBE,Koumbe,-4.592767,14.901098,1055638,,1er cycle,Public,1,1,0,6,4) puits tarrissable,90,81,171,6
MOPTI,DOUENTZA,KORO,KORO,DOUGOUTENE II,KOUMBOURO,Koumbourou,-3.212,13.78,942058,,1er cycle,Communautaire,0,0,,,5) pas de point d'eau,38,32,70,3
MOPTI,DOUENTZA,BANKASS,BANKASS,SOKOURA,KOUMBRIBA,Koumbouriba,-3.745,13.55,975985,,1er cycle,Public,0,0,,,5) pas de point d'eau,37,38,75,1
